Transaction Date,Post Date,Description,Category,Type,Amount
08/13/2020,08/13/2020,AMZN Mktp US*MF16A6712,Shopping,Sale,-32.46
08/13/2020,08/13/2020,AMZN Mktp US*MF26H17D2,Shopping,Sale,-21.64
07/31/2020,08/02/2020,AMZN Mktp US*MF2HU0EU1,Shopping,Sale,-12.86
07/30/2020,07/30/2020,AMZN Mktp US*MF3PS1JN1,Shopping,Sale,-10.70
08/15/2020,08/16/2020,AMZN Mktp US*MF4KA5UU0,Shopping,Sale,-9.73
08/15/2020,08/16/2020,AMZN Mktp US*MF4N93YV2,Shopping,Sale,-20.05
07/28/2020,07/28/2020,AMZN Mktp US*MF6DD04L1,Shopping,Sale,-9.73
07/31/2020,08/02/2020,AMZN Mktp US*MF6HU9EP1,Shopping,Sale,-17.31
07/31/2020,08/02/2020,AMZN Mktp US*MF7H69EQ1,Shopping,Sale,-11.90
08/14/2020,08/14/2020,AMZN Mktp US*MF8LM5IR2,Shopping,Sale,-10.23
07/08/2020,07/08/2020,AMZN Mktp US*MJ0QF1VF0,Shopping,Sale,-6.27
07/10/2020,07/12/2020,AMZN Mktp US*MJ1BN6UC1,Shopping,Sale,-12.72
07/15/2020,07/15/2020,AMZN Mktp US*MJ1WV1712,Shopping,Sale,-14.06
06/27/2020,06/28/2020,AMZN Mktp US*MJ2MY6C01,Shopping,Sale,-20.56
07/12/2020,07/13/2020,AMZN Mktp US*MJ4ZW8QH2,Shopping,Sale,-14.06
07/02/2020,07/03/2020,AMZN Mktp US*MJ5Z07ZE0,Shopping,Sale,-15.14
07/14/2020,07/15/2020,AMZN Mktp US*MJ63Q8WX0,Shopping,Sale,-17.81
07/02/2020,07/03/2020,AMZN Mktp US*MJ6KX8O32,Shopping,Sale,-9.62
06/27/2020,06/28/2020,AMZN Mktp US*MJ7U08CL1,Shopping,Sale,-29.22
07/10/2020,07/12/2020,AMZN Mktp US*MJ8PD9UV1,Shopping,Sale,-12.98
10/12/2020,10/13/2020,AMZN Mktp US*MK2A70I91,Shopping,Sale,-10.81
08/25/2020,08/25/2020,AMZN Mktp US*MM08J8QB2,Shopping,Sale,-48.70
08/21/2020,08/23/2020,AMZN Mktp US*MM1F94D31,Shopping,Sale,-625.64
08/19/2020,08/20/2020,AMZN Mktp US*MM1T82B61,Shopping,Sale,-496.12
08/20/2020,08/20/2020,AMZN Mktp US*MM1YS38J1,Shopping,Sale,-213.54
08/29/2020,08/30/2020,AMZN Mktp US*MM27762P0,Shopping,Sale,-119.06
08/27/2020,08/27/2020,AMZN Mktp US*MM2IV0B50,Shopping,Sale,-9.52
08/21/2020,08/23/2020,AMZN Mktp US*MM3WJ9GU2,Shopping,Sale,-858.15
08/13/2020,08/13/2020,AMZN Mktp US*MM60E9NN1,Shopping,Sale,-67.31
08/28/2020,08/30/2020,AMZN Mktp US*MM71E6RN2,Shopping,Sale,-15.14
08/27/2020,08/28/2020,AMZN Mktp US*MM9EI1BY0,Shopping,Sale,-97.41
06/14/2020,06/15/2020,AMZN Mktp US*MS01Q4L91,Shopping,Sale,-10.81
06/25/2020,06/26/2020,AMZN Mktp US*MS0S096J0,Shopping,Sale,-10.81
06/30/2020,07/01/2020,AMZN Mktp US*MS1HJ9WF0,Shopping,Sale,-34.62
06/29/2020,06/30/2020,AMZN Mktp US*MS1P23UG2,Shopping,Sale,-6.22
07/01/2020,07/01/2020,AMZN Mktp US*MS2Y06Y52,Shopping,Sale,-16.23
06/26/2020,06/26/2020,AMZN Mktp US*MS3VB4D00,Shopping,Sale,-44.37
06/29/2020,06/30/2020,AMZN Mktp US*MS50Q3U02,Shopping,Sale,-32.26
06/28/2020,06/29/2020,AMZN Mktp US*MS5MS07Q2,Shopping,Sale,-15.14
08/29/2020,08/30/2020,AMZN Mktp US*MU0AK7AL1,Shopping,Sale,-108.24
08/26/2020,08/27/2020,AMZN Mktp US*MU0AN0O41,Shopping,Sale,-11.80
09/08/2020,09/09/2020,AMZN Mktp US*MU10O4872,Shopping,Sale,-50.86
09/11/2020,09/11/2020,AMZN Mktp US*MU1ZV2HU0,Shopping,Sale,-15.14
09/05/2020,09/06/2020,AMZN Mktp US*MU22L0X12,Shopping,Sale,-16.23
09/10/2020,09/11/2020,AMZN Mktp US*MU23B4M10,Shopping,Sale,-64.94
09/01/2020,09/02/2020,AMZN Mktp US*MU2A19MG1,Shopping,Sale,-11.90
09/10/2020,09/10/2020,AMZN Mktp US*MU37C4V20,Shopping,Sale,-9.73
